Species	Commodities
African cassava mosaic begomovirus	Cassava
African cassava mosaic virus	Cassava
African peanut clump pecluvirus	Clonal grasses
African peanut clump virus	Clonal grasses
Agropyron mosaic potyvirus	Clonal grasses
Agropyron mosaic virus	Clonal grasses
Alfalfa mosaic virus	Hops
Algerian navel orange virus	Rutaceae
American hop latent virus	Hops
Andean potato latent virus	Potato
Andean potato mild mosaic virus	Potato
Anthoxanthum latent blanching hordeivirus	Clonal grasses
Anthoxanthum latent blanching virus	Clonal grasses
Anthoxanthum mosaic potyvirus	Clonal grasses
Anthoxanthum mosaic virus	Clonal grasses
Apple dimple fruit viroid	Pome
Apple fruit crinkle apscaviroid	Hops/Pome
Apple fruit crinkle viroid	Hops/Pome
Apple hammerhead viroid	Pome
Apple necrotic mosaic virus	Pome
Apple rubbery wood associated virus 1	Pome
Apple rubbery wood associated virus 2	Pome
Apple scar skin viroid	Pome/Stonefruit
Apricot latent ringspot nepovirus	Stonefruit
Apricot latent ringspot virus	Stonefruit
Arkansas fig virus 1	Figs
Arkansas fig virus 2	Figs
Artichoke Italian latent virus	Vitis
Asian prunus foveavirus 1	Stonefruit
Asian prunus foveavirus 3	Stonefruit
Asian prunus virus 1	Stonefruit
Asian prunus virus 3	Stonefruit
Avocado sunblotch viroid	Avocado
Bamboo mosaic potexvirus	Clonal grasses
Bamboo mosaic virus	Clonal grasses
Barley stripe mosaic hordeivirus	Grains
Barley stripe mosaic virus	Grains
Barley yellow dwarf virus	Rice
Bean common mosaic virus	Peanuts
Beet curly top virus	Potato
Bermuda grass etched line marafivirus	Clonal grasses
Bermuda grass etched line virus	Clonal grasses
Bidens mottle virus	Lupins
Blackberry chlorotic ringspot ilarvirus	Rubus
Blackberry chlorotic ringspot virus	Pome/Rubus
Blackberry leaf mottle associated virus	Rubus
Blackberry virus E	Rubus
Blackberry virus S	Rubus
Blackberry virus Y	Rubus
Blackberry yellow vein associated virus	Rubus
Blackberry yellow vein associated virus	Rubus
Blackcurrant reversion nepovirus	Ribes
Blackcurrant reversion virus	Ribes
Blueberry fruit drop associated virus	Blueberry
Blueberry green mosaic associated virus	Blueberry
Blueberry latent spherical nepovirus	Blueberry
Blueberry latent spherical virus	Blueberry
Blueberry leaf mottle nepovirus	Blueberry/Vitis
Blueberry leaf mottle virus	Blueberry/Vitis
Blueberry mosaic associated ophiovirus	Blueberry
Blueberry mosaic associated virus	Blueberry
Blueberry necrotic ring blotch virus	Blueberry
Blueberry red ringspot soymovirus	Blueberry
Blueberry red ringspot virus	Blueberry
Blueberry scorch carlavirus	Blueberry
Blueberry scorch virus	Blueberry
Blueberry shock ilarvirus	Blueberry
Blueberry shock virus	Blueberry
Blueberry shoestring sobemovirus	Blueberry
Blueberry shoestring virus	Blueberry
Blueberry virus A	Blueberry
Blueberry virus T	Blueberry
Broad bean mottle virus	Legumes
Broad bean stain comovirus	Legumes
Broad bean stain virus	Legumes
Broad bean true mosaic comovirus	Legumes
Broad bean true mosaic virus	Legumes
Brome mosaic bromovirus	Clonal grasses
Brome mosaic virus	Clonal grasses
Cadang cadang viroid	Palms
Canary reed mosaic potyvirus	Clonal grasses
Canary reed mosaic virus	Clonal grasses
Carnation Italian ringspot tombusvirus	Stonefruit
Carnation Italian ringspot virus	Stonefruit
Cassava American latent nepovirus	Cassava
Cassava American latent virus	Cassava
Cassava brown streak ipomovirus	Cassava
Cassava brown streak virus	Cassava
Cassava Colombian symptomless tentative potexvirus	Cassava
Cassava Colombian symptomless tentative virus	Cassava
Cassava common mosaic potexvirus	Cassava
Cassava common mosaic virus	Cassava
Cassava frogskin virus	Cassava
Cassava green mottle nepovirus	Cassava
Cassava green mottle virus	Cassava
Cassava Ivorian bacilliform anulavirus	Cassava
Cassava Ivorian bacilliform virus	Cassava
Cassava vein mosaic cavemovirus	Cassava
Cassava vein mosaic virus	Cassava
Cassava virus X potexvirus	Cassava
Cassava virus X virus	Cassava
Cassava Colombian symptomless virus	Cassava
Caucasus prunus virus	Stonefruit
Cereal northern mosaic rhabdovirus	Clonal grasses
Cereal northern mosaic virus	Clonal grasses
Cherry rusty mottle associated virus	Stonefruit
Cherry associated luteovirus	Stonefruit
Cherry associated virus	Stonefruit
Cherry Hungarian rasp leaf virus	Stonefruit
Cherry leaf roll nepovirus	Blueberry/Ribes/Elms/Vitis/Hops/Kiwifruit/Olives/Pome/Rubus/Stonefruit/Walnut
Cherry leaf roll virus	Blueberry/Ribes/Elms/Vitis/Hops/Kiwifruit/Olives/Pome/Rubus/Stonefruit/Walnut
Cherry leafroll virus	Blueberry/Ribes/Elms/Vitis/Hops/Kiwifruit/Olives/Pome/Rubus/Stonefruit/Walnut
Cherry mottle leaf trichovirus	Stonefruit
Cherry mottle leaf virus	Stonefruit
Cherry rasp leaf nepovirus	Malus/Rubus/Stonefruit
Cherry rasp leaf virus	Malus/Rubus/Stonefruit
Cherry robigovirus 5	Stonefruit
Cherry rosette virus	Stonefruit
Cherry twisted leaf associated virus	Stonefruit
Cherry virus F	Stonefruit
Cherry virus T	Stonefruit
Cherry virus Trakiya	Stonefruit
Cherry virus Turkey	Stonefruit
Citrus apscaviroid V	Rutaceae
Citrus apscaviroid VI	Rutaceae
Citrus bark cracking cocadviroid	Rutaceae
Citrus bark cracking viroid	Rutaceae
Citrus bent leaf apscaviroid	Rutaceae
Citrus bent leaf viroid	Rutaceae
Citrus cachexia viroid	Rutaceae
Citrus chlorotic dwarf associated virus	Rutaceae
Citrus concave gum associated virus	Rutaceae
Citrus concave gum associated virus	Rutaceae
Citrus dwarf viroid	Rutaceae
Citrus dwarfing apscaviroid	Rutaceae
Citrus dwarfing viroid	Rutaceae
Citrus exocortis pospiviroid	Rutaceae
Citrus exocortis viroid	Rutaceae
Citrus gummy bark viroid strain cachexia	Citrus
Citrus leaf blotch citrivirus	Rutaceae
Citrus leaf blotch virus	Rutaceae
Citrus leaf rugose ilarvirus	Rutaceae
Citrus leaf rugose virus	Rutaceae
Citrus leprosis rhabdovirus	Rutaceae
Citrus leprosis virus	Rutaceae
Citrus ringspot virus	Rutaceae
Citrus seed borne virus	Rutaceae
Citrus sudden death associated virus	Rutaceae
Citrus sudden death associated virus	Rutaceae
Citrus tatter leaf capillovirus	Rutaceae
Citrus tatter leaf virus	Rutaceae
Citrus tristeza closterovirus	Rutaceae
Citrus tristeza virus	Rutaceae
Citrus variegation ilarvirus	Rutaceae
Citrus variegation virus	Rutaceae
Citrus vein enation virus	Rutaceae
Citrus viroid Ia	Rutaceae
Citrus viroid Ib	Rutaceae
Citrus viroid IIa	Rutaceae
Citrus viroid IIb	Rutaceae
Citrus viroid IIc	Rutaceae
Citrus viroid III	Rutaceae
Citrus viroid IIIa	Rutaceae
Citrus viroid IIIa	Rutaceae
Citrus viroid IIIb	Rutaceae
Citrus viroid IIIb	Rutaceae
Citrus viroid IIIc	Rutaceae
Citrus viroid IIIc	Rutaceae
Citrus viroid IV	Rutaceae
Citrus viroid OS	Rutaceae
Citrus viroid V	Rutaceae
Citrus viroid VI	Rutaceae
Citrus yellow mosaic badnavirus	Rutaceae
Citrus yellow mosaic virus	Rutaceae
Citrus yellow mottle virus	Rutaceae
Citrus yellow vein clearing virus	Rutaceae
Cocksfoot mild mosaic panicovirus	Clonal grasses
Cocksfoot mild mosaic virus	Clonal grasses
Cocksfoot streak potyvirus	Clonal grasses
Cocksfoot streak virus	Clonal grasses
Coconut tinangaja viroid	Palms
Colocasia bobone disease associated cytorhabdovirus	Taro
Colocasia bobone disease associated virus	Taro
Colocasia bobone disease associated virus	Taro
Concave gum virus	Rutaceae
Cotton leaf curl Gezira virus	Hibiscus/Papaya
Cotton leaf curl virus	Hibiscus/Papaya
Cotton leafroll dwarf virus	Cotton
Crinkly leaf virus	Rutaceae
Cynodon chlorotic streak rhabdovirus	Clonal grasses
Cynodon chlorotic streak virus	Clonal grasses
Dasheen mosaic potyvirus	Taro
Dasheen mosaic virus	Taro
East African cassava mosaic begomovirus	Cassava
East African cassava mosaic Cameroon begomovirus	Cassava
East African cassava mosaic Cameroon virus	Cassava
East African cassava mosaic Malawi begomovirus	Cassava
East African cassava mosaic Malawi virus	Cassava
East African cassava mosaic virus	Cassava
East African cassava mosaic Zanzibar begomovirus	Cassava
East African cassava mosaic Zanzibar virus	Cassava
East Asian passiflora potyvirus	Passionfruit
East Asian passiflora virus	Passionfruit
Eggplant mottled dwarf virus	Potato
Elm mottle virus	Elm
Epirus cherry virus	Stonefruit
Festuca leaf streak rhabdovirus	Clonal grasses
Festuca leaf streak virus	Clonal grasses
Festuca necrosis closterovirus	Clonal grasses
